test_name,short_description,clinical_overview
ALLERGYPCSR2WEEDS,This test detects specific DNA from certain weeds. It helps determine if you are exposed to or sensitive to these plant materials that may trigger allergic reactions.,"This molecular test measures the presence of genetic material (DNA) originating from specific types of weeds. It is ordered when a patient presents with symptoms, such as sneezing, itchy eyes, or respiratory irritation, and doctors suspect an environmental allergen is the cause. The test confirms whether the sample contains detectable DNA from these particular weed species. A positive result suggests recent exposure to these allergens; however, a negative result does not completely rule out all possible allergies. This information helps guide treatment plans for managing seasonal allergic reactions."
ALLERGYPCSR3WEEDS,This test detects specific genetic material or markers associated with weed pollens. It helps determine if a person may be reacting to weeds in their environment.,"This molecular test uses Polymerase Chain Reaction (PCR) technology to detect the presence of materials from various weeds. Physicians order this test when symptoms, such as sneezing, itchy eyes, or skin rashes, suggest an allergic reaction to outdoor pollens. A positive result indicates that weed components were detected in the sample, suggesting potential exposure or sensitization. Conversely, a negative result suggests that these specific markers are not present, but it does not rule out all possible allergies. The results help guide treatment plans and reduce symptoms related to environmental triggers."
ALLERGYPCSR4WEEDS,This test detects specific genetic markers from weeds in a sample to help determine if you are sensitive to certain plant allergens.,"This molecular test measures the presence of specific DNA markers associated with various types of weeds. It is ordered when a healthcare provider needs to evaluate potential allergic reactions to environmental allergens, such as those found outdoors. The results can assist in determining which specific plants might be triggering symptoms like hay fever or skin irritation. A positive result suggests that detectable weed material was found; however, this test must always be interpreted alongside your physical exam findings and medical history to guide appropriate treatment."
ALLERGYPCSR5WEEDS,This test detects specific genetic material from weeds that may trigger an allergic reaction. It helps determine if your body is reacting to weed pollens or allergens.,"This molecular test uses Polymerase Chain Reaction (PCR) technology to detect the presence of specific genetic materials found in various types of weeds. Physicians order this test when symptoms, such as sneezing, itchy eyes, or skin rashes, suggest an allergic reaction linked to environmental exposure. The results indicate whether detectable weed allergens were present in the sample; a positive result suggests potential sensitization to these plants, while a negative result does not rule out allergies but indicates no detectable material was found. This test is used to help guide diagnosis and management of suspected plant-related allergies."
ALLERGYPCSR6WEEDS,This test detects genetic material from specific weeds in a sample. It helps determine if exposure to certain environmental plants may be causing allergic symptoms.,"The purpose of this test is to measure the presence of DNA sequences from common weed allergens within a collected sample. This test is typically ordered when a patient experiences seasonal or persistent allergy symptoms, such as sneezing, itchy eyes, or nasal congestion, and a specific environmental trigger needs identification. Using Polymerase Chain Reaction (PCR), laboratory staff detect if the genetic material of certain weeds was present in the sample. Positive results suggest potential sensitization to those specific weed allergens; however, these findings must be interpreted by a healthcare provider alongside your symptoms and medical history."
ALLERGYPCSR7WEEDS,"This test detects specific genetic material from weeds, helping determine potential exposure or sensitivity to weed pollen allergens.","This molecular test measures the presence of specific DNA markers derived from various weeds. It is ordered by healthcare providers to evaluate potential sensitization or recent exposure related to weed pollen, which can trigger seasonal allergies. A positive result indicates that these weed genetic materials were detected in the sample; however, this finding must be interpreted alongside your symptoms and medical history. The results help guide diagnosis but cannot confirm an allergy on its own."
ALLERGYPCSR8WEEDS,This test detects specific genetic material from weeds (pollen allergens). It helps determine if your body is reacting to these environmental allergens.,"This test measures for the presence of specific DNA markers found in weed pollen. It is typically ordered when a healthcare provider suspects that seasonal symptoms, such as sneezing or itchy eyes, are caused by an allergic reaction to weeds. The laboratory uses Polymerase Chain Reaction (PCR) technology to detect these allergen markers within the sample. A positive result suggests sensitivity to weed pollen, while a negative result indicates no detectable marker for this specific allergen."
ALLERGYPCSR9WEEDS,This test detects specific genetic material (DNA) from various weeds that can trigger allergic reactions. It helps determine if you are sensitive to components found in these plants.,"This molecular test measures the presence of DNA sequences originating from certain types of weeds, which are known allergens. Physicians order this test when a patient presents with symptoms suggestive of seasonal allergies or inflammatory responses related to plant exposure. A positive result indicates that detectable levels of weed-related allergen DNA were found, suggesting potential sensitivity and warranting further management strategies. Conversely, negative results suggest low levels of detectable allergen material from weeds. This information helps guide treatment decisions but does not diagnose the condition alone."
RPR MONITOR W/REFL,This test measures antibodies in the blood that may be related to syphilis infection. Monitoring helps doctors track if an infection is present or if treatment is working.,"The RPR test detects specific antibodies found in the blood that can indicate exposure to syphilis, a sexually transmitted infection. This test is often ordered not only for initial diagnosis but also specifically to monitor changes over time. By tracking the level of these antibodies (the titer), healthcare providers can determine if an active infection is present or if the patient's immune system is responding positively to treatment. Significant decreases in antibody levels are generally expected when a person is successfully treated, helping guide ongoing medical care."
ALLERGY R10 WEEDS,This test measures antibodies in your blood that react to proteins found in various weeds and plants. High levels may indicate an allergic reaction to these specific environmental substances.,"This laboratory test evaluates the presence and concentration of Immunoglobulin E (IgE) antibodies in the blood that are directed against proteins from common weed sources. It is ordered when a patient presents with symptoms such as sneezing, itchy eyes, or skin rashes following exposure to outdoor environments. Identifying these specific triggers helps healthcare providers confirm if an allergic reaction is occurring due to environmental allergens. Positive results suggest sensitivity to one or more tested weed components, which can guide the development of targeted treatment plans and avoidance strategies."
HGB & HCT,This test measures hemoglobin (the oxygen-carrying protein) and hematocrit (the percentage of red blood cells) in your blood. These levels help determine if you have enough healthy blood to carry adequate oxygen.,"The HGB & HCT test assesses two key components of the blood: Hemoglobin, which is the protein responsible for carrying oxygen from your lungs, and Hematocrit, which measures the proportion of red blood cells in your total blood volume. This panel is typically ordered when a doctor needs to evaluate potential anemia or assess overall oxygen-carrying capacity. Low results may indicate that the body does not have enough healthy red blood cells or hemoglobin, which can cause symptoms like fatigue. Conversely, high levels might suggest dehydration or other underlying conditions. These measurements help guide further diagnosis and treatment planning."
HETER.MONO (REFL),This test detects the genetic material (DNA) of several herpesviruses in your sample. It is used to check for evidence of an active viral infection.,"This laboratory test measures the presence of DNA from multiple types of herpesviruses, such as Herpes Simplex Virus type 1 (HSV-1). Physicians order this test to determine if a person has an active or recent infection with these viruses. A positive result means that the virus's genetic material was detected in the sample; however, this finding must be interpreted alongside your symptoms and physical exam findings for a complete diagnosis. Negative results suggest that no detectable viral DNA was found at the time of testing."
T-4 (REFL),This test measures levels of a specific substance or marker in your sample. Results help healthcare providers assess bodily function and guide treatment decisions.,"The T-4 (REFL) test is used to measure the concentration of a particular biological marker within the collected sample. This assessment helps healthcare providers evaluate how certain body systems are functioning or if specific changes have occurred in the body's chemistry. Elevated or low levels may indicate various conditions, but these results must always be interpreted by a doctor alongside your medical history and physical exam findings. It is important to understand that this test alone cannot diagnose a disease; it only provides information for clinical consideration."
RUBELLA IMMUNE,"This test measures antibodies in the blood that indicate if a person has immunity to rubella, also known as German measles.","The Rubella Immune test analyzes blood samples to detect specific antibodies against the rubella virus. This procedure is used to determine an individual's immune status and whether they are protected from infection, which is particularly important for women who plan to become pregnant or those with unknown exposure history. The presence of certain antibodies suggests that the person has either been vaccinated or previously recovered from the illness. If immunity levels are low or absent, it indicates a need for further preventative measures, such as vaccination."
CAT & VMA,"This test measures specific waste products (metabolites) in urine, including Vanillylmandelic Acid (VMA), to help assess adrenal gland function.","The CAT & VMA test quantifies the levels of certain metabolites—waste products from normal body processes—found in a urine sample. These markers are used by healthcare providers to evaluate the activity and balance of the adrenal glands, which produce important hormones. Elevated or decreased levels may suggest that the body is producing too much or too little of specific stimulating hormones, such as catecholamines. The results help guide further testing when symptoms or physical exam findings point toward issues with hormone regulation or metabolic function."
SED RATE BY MOD WEST,This test measures the rate at which red blood cells settle in a tube. A faster settling rate can suggest inflammation or infection within the body.,"The Erythrocyte Sedimentation Rate (ESR) measures how quickly red blood cells settle to the bottom of a glass tube over time. This test is used by healthcare providers to help evaluate if there is increased inflammation or disease activity in the body, rather than diagnosing a specific condition. Elevated rates often suggest that an inflammatory process is occurring, which can be associated with conditions like rheumatoid arthritis or various infections. It is important to note that this rate does not pinpoint the cause of inflammation and must always be interpreted by a doctor alongside your symptoms, medical history, and other test results."
HEMOGLOBIN A1C W/MPG,"This test measures average blood sugar levels over two to three months using hemoglobin A1c, and assesses advanced signs of metabolic stress with Methylglyoxal-Protein Glycation (MPG).","The Hemoglobin A1c component provides a measure of the percentage of hemoglobin attached to sugar, reflecting the average blood glucose level over the preceding two to three months. This test is primarily used for monitoring long-term blood sugar control and assessing how well diabetes or prediabetes is managed. The addition of MPG measures advanced glycation end products, which are markers that show cumulative damage caused by prolonged high blood sugar levels. Elevated results may indicate poor glucose management over time or increased metabolic stress on the body's proteins."
AST,AST measures the level of an enzyme called aspartate aminotransferase in your blood. Elevated levels can suggest damage to organs like the liver or muscles.,"Aspartate aminotransferase (AST) is an enzyme found within many cells, including those in the heart, skeletal muscles, and liver. When these tissues are damaged, AST can leak into the bloodstream, causing its level to rise. Doctors order this test primarily to help evaluate potential injury or stress on these organs. While elevated levels suggest that some organ damage may be occurring, they do not pinpoint the exact cause. The results must always be interpreted by a healthcare provider alongside your symptoms and physical exam findings."
ALT,ALT measures an enzyme found mainly in liver cells. Elevated levels often suggest damage or inflammation to the liver.,"Alanine aminotransferase (ALT) is an enzyme primarily located within liver cells. When these cells are damaged or inflamed, ALT can leak into the bloodstream, causing its level to rise. Doctors order this test to evaluate potential injury to the liver and help determine the cause of elevated enzymes. High levels may indicate conditions such as viral hepatitis, drug-induced liver injury, or fatty liver disease. However, because many factors can affect enzyme levels, these results must always be interpreted alongside your medical history, physical exam findings, and other blood tests."
SICKLE CELL SCREEN,"This test checks your blood for changes in hemoglobin, a protein that carries oxygen. It determines if you carry genes related to sickle cell disease.","The Sickle Cell Screen measures the structure of hemoglobin, the protein inside red blood cells responsible for carrying oxygen throughout the body. This test is typically ordered to determine an individual's carrier status or diagnose sickle cell disease. The results indicate whether the person has normal hemoglobin, carries one gene copy (trait), or has two copies of the gene associated with the condition. Carrying the trait usually means having no symptoms, but these results are used by healthcare providers to guide genetic counseling and prevent complications."
AT3 ACT (REFL),This test measures the amount of a specific marker called AT3 in your blood. Elevated or low levels may help doctors evaluate certain health conditions.,"The AT3 ACT test is used to measure the concentration level of a substance known as AT3 within a sample of blood. Doctors typically order this test when they need to assess potential risk factors or monitor changes related to specific metabolic or cardiac conditions. The results help healthcare providers determine if the measured levels are within the normal range, which can guide further diagnosis and treatment planning. It is important to note that these results must be interpreted by a physician alongside your medical history and physical examination findings."
ANA W/REFL (REFL),"This test measures autoantibodies—proteins that mistakenly attack the body’s own cells and tissues. A positive result suggests an immune system issue, which may require further specific testing.","The Antinuclear Antibody (ANA) test detects the presence of antibodies that are directed against components within the cell nucleus. These autoantibodies indicate that the immune system is mistakenly attacking the body’s own tissues rather than foreign invaders. This test is ordered to help evaluate potential systemic autoimmune diseases, such as Lupus or scleroderma, when symptoms like joint pain or skin rashes are present. If the initial screen detects antibodies, a reflex panel will be run to identify specific patterns (e.g., anti-dsDNA) that can narrow down the possible cause of the immune system activity."
MICROALBUMIN TIMED (U),"This test measures small amounts of albumin, a blood protein, found in your urine. Elevated levels can indicate that the kidneys may be struggling to filter waste properly.","This test quantifies the amount of albumin (a common blood protein) excreted in a timed urine sample. It is used primarily to monitor kidney function and detect early signs of kidney damage, often associated with conditions like diabetes or high blood pressure. When small amounts of albumin are found in the urine, it suggests that the kidneys may be leaking protein they normally keep in the bloodstream. While elevated levels require further evaluation, this test alone cannot diagnose a specific disease; rather, it helps healthcare providers assess your risk and guide management strategies for kidney health."
DIRECT LDL,"Measures the actual amount of Low-Density Lipoprotein (LDL) particles in your blood. This test helps assess cardiovascular risk, especially when standard tests might be inaccurate.","This test measures the concentration of LDL particles directly present in a blood sample. High levels of LDL are associated with an increased risk of plaque buildup in the arteries, which can contribute to heart disease. It is often ordered by healthcare providers to assess cardiovascular risk or when standard indirect measurements of LDL cholesterol might be inaccurate due to other factors, such as very high triglyceride levels. The results help guide decisions regarding lifestyle changes or medication management."
FRUCTOSAMINE,"This test measures glucose attached to proteins in your blood, providing an estimate of average blood sugar levels over several weeks.","Fructosamine measures how much sugar (glucose) has bound to proteins circulating in the bloodstream. This quantitative test is used by healthcare providers to monitor long-term blood sugar control, offering a picture of glucose management over the preceding two to three weeks. Elevated levels suggest that average blood sugar concentrations may have been higher than normal recently. These results are helpful for managing conditions like diabetes and guiding necessary adjustments to treatment plans."
LASA,This test measures the level of LASA in your blood. Elevated levels may indicate inflammation or other conditions that require further investigation.,"The LASA test measures the concentration of a specific biomarker called LASA within a sample, typically drawn from the blood. This test is ordered to help evaluate potential causes of symptoms such as fatigue or unexplained pain, and to assess for underlying inflammatory processes. The results are interpreted by a healthcare provider in context with your medical history, physical exam findings, and other lab tests. Elevated levels may suggest an active condition that needs management, while normal levels help rule out certain issues."
POTASSIUM RAND (U),"This test measures the amount of potassium, a vital mineral found in your blood. It helps check if levels are within the normal range needed for proper heart and nerve function.","Potassium is an essential electrolyte that plays a critical role in maintaining the electrical balance of body fluids. This quantitative test measures the concentration of potassium in the blood to evaluate overall mineral status. Doctors order this test when they need to assess fluid balance or if symptoms like muscle weakness, fatigue, or changes in heart rhythm are present. Elevated (high) or low levels of potassium can interfere with nerve signaling and affect how the heart beats. Significant imbalances require medical evaluation because they can impact cardiac function."
ADENOVIRUS DFA,This test detects the presence of Adenovirus particles in samples taken from the nose or throat. A positive result suggests an active viral infection that may cause respiratory symptoms.,"The Adenovirus DFA test measures specific proteins (antigens) belonging to the Adenovirus, typically using a sample collected via swab from the upper respiratory tract. This test is ordered by healthcare providers to help diagnose acute respiratory infections when patients present with symptoms such as cough or sore throat. A positive result indicates that the virus is currently detectable in the airways; however, this finding alone does not determine the severity of illness or rule out other potential causes. Therefore, results must always be interpreted alongside the patient's specific symptoms and physical examination findings."
INFLUENZA AB DFA,This test detects specific proteins (antigens) from the influenza virus in a respiratory sample. A positive result suggests an active flu infection.,"The Influenza AB DFA test is used to diagnose acute infections by detecting the presence of viral antigens—specific proteins found on the surface of the influenza virus—directly from a patient's respiratory specimen. This testing method helps confirm if symptoms are caused by circulating influenza strains, which can be critical for determining appropriate treatment. A positive result indicates that flu material was detected in the sample and suggests an active infection. Conversely, a negative result means the test did not detect the virus but does not completely rule out all possible causes of respiratory illness."
PARAINFLU 123 DFA,This test detects specific proteins (antigens) from certain influenza viruses in a patient's respiratory sample to determine if an active infection is present.,"The PARAINFLU 123 DFA test measures the presence of viral antigens—specific proteins found on the surface of various influenza strains—in samples collected from the upper respiratory tract. This test is typically ordered when a patient presents with symptoms suggestive of acute respiratory illness, such as fever or cough. A positive result indicates that the body has been exposed to and may be actively infected by one of the targeted influenza viruses. Negative results suggest that the virus was not detected in the sample at the time of testing; however, these findings must always be interpreted alongside the patient's clinical symptoms and medical history."
SODIUM,This test measures the amount of sodium in your blood. Sodium is a vital mineral that helps keep your body's fluids and nerves balanced.,"Sodium is an essential mineral that plays a critical role in maintaining proper fluid balance throughout the body and supporting nerve function. Doctors order this test to evaluate whether sodium levels are too high or too low, which can indicate issues with kidney function, dehydration, or how much fluid you are retaining. Abnormal results may suggest imbalances caused by certain medical conditions or medications. The specific level helps healthcare providers determine if treatment is needed to restore proper mineral balance."
LYMPH SUBSET PNL 5,"This test analyzes different types of lymphocytes, which are specialized white blood cells in your blood. It helps measure and assess the balance of your immune system's cell populations.","The Lymph Subset panel measures the specific number and type of lymphocytes—a group of white blood cells crucial for fighting infection—circulating in the bloodstream. This test is ordered to evaluate the overall function and composition of the immune system, helping healthcare providers determine if the body's defenses are functioning normally. Abnormal results may indicate an imbalance among these cell types, which can be associated with various conditions such as chronic infections or certain disorders affecting blood cells. The findings help guide further diagnosis alongside your medical history and physical examination."
HBV DNA QUANT,"This test measures the amount of Hepatitis B virus DNA in your blood. High levels can show active viral replication, helping doctors monitor treatment effectiveness.","This quantitative test measures the concentration of Hepatitis B virus genetic material (DNA) circulating in the bloodstream. It is primarily used to assess the activity level of a chronic Hepatitis B infection and guide medical management. Elevated amounts of viral DNA suggest that the virus is actively replicating, which may indicate the need for changes in treatment plans. Conversely, decreasing or undetectable levels often show that the immune system or medication is successfully controlling the virus. These results help healthcare providers monitor disease progression and determine if a patient's liver condition is stable."
FLUOXETINE,"This test measures the concentration of fluoxetine, an antidepressant medication, in your blood. It helps healthcare providers check if the drug level is within a safe and effective range.","This laboratory test quantifies the amount of fluoxetine, which is a common medication used to treat conditions like depression or anxiety disorders. The primary purpose of this test is therapeutic drug monitoring; it measures the concentration of the drug in your blood to ensure that the dosage is safe and effective for you. Results help healthcare providers determine if the current dose needs adjustment—either increasing it if levels are too low, or decreasing it if levels are too high. These results should always be interpreted by a doctor alongside your symptoms, medical history, and physical exam findings."
HCG Total Quantitative,This test measures the total amount of HCG hormone in your blood. The level helps confirm pregnancy and monitor how the hormone changes over time.,"The HCG (human chorionic gonadotropin) is a hormone that begins to rise in the bloodstream during pregnancy. This quantitative test measures the total concentration of this hormone, providing information about the status and progression of gestation. Physicians order this test primarily to confirm pregnancy or to monitor whether the hormone levels are rising as expected. While rising levels generally indicate normal development, unexpected patterns—such as falling levels or levels that do not rise steadily—may prompt further evaluation for potential complications like an ectopic pregnancy. These results must always be reviewed by a healthcare provider alongside your symptoms and other diagnostic findings."
ACYCLOVIRHLPC,"This test detects the presence of genetic material (DNA) from the Herpes Simplex Virus (HSV), which indicates an active viral infection.","The ACYCLOVIRHLPC test measures the specific DNA genetic material belonging to the Herpes Simplex Virus (HSV). This test is ordered by healthcare providers to help determine if a person has an active HSV infection, such as oral or genital herpes. The results indicate whether viral DNA was detected in the sample; finding this DNA suggests that the virus is present. However, a positive result does not always mean the patient is experiencing symptoms at the time of testing and requires clinical correlation with physical exam findings."
IMCAP PEACH (F95),This test detects specific genetic material from a pathogen in your sample. It helps determine if certain infectious agents are present.,"The IMCAP PEACH assay is designed to detect the presence of specific nucleic acid sequences, which are pieces of genetic material found within pathogens (disease-causing microorganisms). This molecular test is typically ordered when a healthcare provider needs to confirm whether an individual has been exposed to or infected by certain agents. A positive result indicates that the target genetic material was detected in the sample; however, this finding must be interpreted alongside your symptoms and medical history. Negative results suggest the pathogen may not be present at detectable levels, but they do not completely rule out infection."
EBV IGM AB,"This test detects IgM antibodies, which are proteins made by the immune system in response to a recent Epstein-Barr Virus (EBV) infection.","The EBV IGM AB test measures specific IgM antibodies circulating in the blood. These antibodies are typically produced early during an active or very recent infection with the Epstein-Barr Virus, which is a common cause of infectious mononucleosis. Physicians order this test to help determine if there has been recent exposure or current activity of the virus. A positive result suggests that the immune system has recently encountered EBV; however, these results must always be interpreted by a healthcare provider alongside your symptoms and medical history."
MUSCLE FIBERS FECAL,This test checks stool samples for the presence of muscle fibers. It helps determine if damaged muscle tissue may be passing through the digestive system.,"This test analyzes fecal matter to detect specific components known as muscle fibers, which are structural parts of muscle tissue. Physicians order this test when they suspect that significant muscle breakdown or damage (such as from certain types of inflammation) might be occurring elsewhere in the body. The presence of these fibers suggests that damaged cells may have been shed into the stool. However, finding muscle fibers alone does not confirm a specific diagnosis; rather, it indicates that further investigation is needed to determine the underlying cause of the tissue breakdown."
BETA-HCG QUALITATIVE,"This test measures beta-hCG, a hormone produced during pregnancy. A positive result indicates the presence of this specific hormone in the blood.","The beta-hCG test detects the presence of human chorionic gonadotropin (beta-hCG), a hormone that begins to develop in the placenta shortly after conception. This test is used primarily to confirm pregnancy and monitor its expected progression over time. A positive result indicates the body is producing this hormone, but because it is qualitative, the test only confirms if the hormone is present or absent. Clinicians interpret these results alongside physical symptoms, medical history, and other lab findings. For instance, abnormal levels may help evaluate potential complications such as an ectopic pregnancy or miscarriage."
PH URINE,This test measures the acidity or alkalinity (pH) level of your urine sample. It helps doctors understand how your body is managing acid and base balance.,"Urine pH testing determines the concentration of hydrogen ions in a urine sample, providing a numerical reading that indicates whether the urine is acidic or alkaline. This test is ordered to help evaluate potential metabolic disorders or urinary tract issues, such as kidney stones, which often form when urine becomes too acidic or too basic. The results are interpreted alongside your symptoms and medical history; for example, consistently low pH might suggest an issue with acid excretion by the kidneys. It is important to note that diet can temporarily affect this reading, so these results help guide further diagnostic evaluation rather than providing a definitive diagnosis."
CREATININE RAND (U),"This test measures the amount of creatinine, a waste product from muscle activity, found in your urine. It helps doctors evaluate how well your kidneys are filtering waste from your blood.","Creatinine is a natural waste product created by normal muscle metabolism that the body needs to remove. This test quantifies the concentration of creatinine in the urine sample, providing insight into kidney function and the rate at which waste products are filtered out. Doctors order this test to monitor how effectively the kidneys are working or to evaluate potential kidney injury. Elevated levels may suggest reduced filtering ability by the kidneys, while low levels can sometimes indicate muscle wasting. The results help healthcare providers assess overall renal health in conjunction with your medical history and other lab findings."
AMYLASE RAND UR,"This test measures the amount of amylase, an enzyme that breaks down starches, found in your urine. High levels may suggest issues with salivary or pancreatic gland function.","Amylase is an enzyme responsible for breaking down complex carbohydrates like starch. When measured in the urine, this test helps healthcare providers evaluate potential problems with the salivary glands or the pancreas. Elevated amylase levels can sometimes indicate inflammation of the pancreas (pancreatitis) or other conditions that affect how these organs function. However, because many things can cause high levels, a doctor will review your symptoms and medical history alongside these results to determine the true cause."
RSV AG (IA),This test detects specific proteins (antigens) from the Respiratory Syncytial Virus (RSV). A positive result indicates that the virus is currently present in your respiratory sample.,"The RSV Antigen test measures for the presence of viral proteins produced by the Respiratory Syncytial Virus. This type of testing is used to confirm an active infection with RSV, which is a common cause of respiratory illness, especially in infants and young children. A positive result suggests that the individual has been recently exposed to or is currently shedding the virus. However, this test alone cannot determine the severity of the illness or rule out other potential causes of respiratory symptoms; results must be interpreted alongside clinical signs and history."
HEP C AB w/REFL HCV,"This test measures antibodies to Hepatitis C, which show if your body has been exposed to the virus. It also checks for active viral material if needed.","This blood test determines whether your immune system has produced antibodies in response to Hepatitis C infection. Antibodies are proteins that signal past or current exposure to the virus. The reflex component of this test measures Hepatitis C RNA, which detects the actual genetic material of the virus. Doctors order this test to evaluate potential exposure and determine if there is active viral replication, which can lead to liver inflammation. A positive antibody result indicates prior contact with the virus, while a positive RNA result suggests current infection that requires further medical management."
EBV IGG AB,This test detects specific antibodies (IgG) in your blood that show past exposure to the Epstein-Barr Virus (EBV). A positive result suggests prior contact with this common virus.,"The EBV IgG antibody test measures the presence of Immunoglobulin G (IgG), which are long-lasting proteins produced by the immune system. These antibodies indicate that a person has been exposed to the Epstein-Barr Virus (EBV) at some point in their life, even if they do not currently have symptoms. This test is ordered primarily to determine prior exposure status or as part of an investigation into unexplained fatigue or lymph node swelling. A positive result suggests past infection; however, this test alone cannot diagnose a current illness and must be interpreted alongside your medical history and physical exam findings."
GLUCOSE PP/1 HR,This test measures the amount of glucose (sugar) circulating in your blood. It helps doctors check if your body is managing sugar levels correctly.,"The glucose test measures the concentration of glucose, a primary form of energy found in the bloodstream. This measurement provides insight into how well your body's metabolic system is functioning and how effectively it manages sugar intake. The test is ordered to diagnose or monitor conditions such as diabetes mellitus, which involves difficulty regulating blood sugar levels. Elevated results (hyperglycemia) may indicate that the body is not using insulin properly, while low results (hypoglycemia) require medical attention. These findings help healthcare providers adjust treatment plans and guide dietary changes."
GLUCOSE GEST. SCR. - 135,This test measures blood glucose levels during pregnancy to check for high blood sugar that may indicate gestational diabetes.,"This test measures the concentration of glucose (sugar) in the blood specifically during pregnancy. It is ordered to evaluate whether a woman has gestational diabetes, which means high blood sugar levels developing only during gestation. Elevated results suggest that the body is having difficulty managing blood sugar changes due to hormonal shifts in pregnancy. If this test shows abnormal levels, further testing and monitoring are required to determine if treatment or lifestyle changes are necessary for both the mother and baby."
CMV IGM AB,Measures specific antibodies (IgM) in the blood that react to Cytomegalovirus (CMV). Detection suggests recent exposure or an active CMV infection.,"This test measures IgM antibodies, which are proteins produced by the immune system when it detects a foreign invader like a virus. Specifically, it looks for these antibodies targeting Cytomegalovirus (CMV), a common virus. Physicians order this test to determine if a person has recently been exposed to or is currently infected with CMV. A positive result suggests recent infection or an active illness; however, the presence of these antibodies must always be interpreted alongside the patient's symptoms and medical history."
E COLI 0157 H7 SERO,This test measures specific antibodies in the blood that indicate exposure to or infection by E. coli O157 H7 bacteria.,"The E. coli O157 H7 serology test detects the presence of antibodies—proteins made by the immune system—that respond to a specific strain of bacteria, E. coli O157 H7. This test is typically ordered when an infection from this bacterium is suspected, often in patients presenting with gastrointestinal symptoms like diarrhea. A positive result suggests that the individual's immune system has encountered this particular type of bacteria, indicating past or current exposure. However, a positive antibody finding alone does not confirm active illness and must be interpreted alongside clinical signs, medical history, and other laboratory results."
CULTURE H DUCREYI,"This test grows bacteria from a sample to determine if *Haemophilus ducreyi*, the germ that causes chancroid, is present.","The culture test detects the presence of *Haemophilus ducreyi* by growing the organism from a collected sample. This procedure is typically ordered when a healthcare provider suspects an infection such as chancroid, which presents as painful genital sores. A positive result indicates that this specific bacterium was found in the sample. Conversely, a negative result suggests the bacteria were not detected at the time of testing. These results are used by clinicians to help confirm a diagnosis and guide appropriate treatment plans."
SODIUM RAND (U),"This test measures the amount of sodium, an essential mineral, present in your urine sample. It helps doctors evaluate how well your kidneys are managing salt and fluid balance.","Sodium is a critical electrolyte that the body needs to maintain proper fluid levels. Measuring its concentration in the urine provides information about how effectively the kidneys are filtering and balancing sodium. This test is typically ordered when a doctor suspects kidney function issues, dehydration, or an imbalance in electrolytes. Abnormal results may suggest conditions involving excessive salt loss or retention by the kidneys. The findings help healthcare providers determine if fluid intake or kidney performance needs adjustment."
MICROGLOBULIN,"This blood test measures microglobulin, a small protein. Levels help doctors assess how well your kidneys are filtering waste products from your body.","Microglobulin is a small protein found in the bloodstream that helps the body manage waste products. This quantitative test measures the concentration of this protein to evaluate kidney function and overall metabolic clearance. Elevated levels may suggest that the kidneys are having difficulty filtering waste, which can be related to various conditions affecting renal health. The results must be interpreted by a healthcare provider alongside your symptoms, medical history, and other lab findings to determine if further investigation is needed."
PROTEIN ELECTRO.,This test separates different types of proteins in your blood using electricity. It helps doctors check for unusual levels or patterns within specific protein groups.,"Protein electrophoresis is a laboratory procedure that uses an electrical current to separate the various proteins found in your blood into distinct groups, much like separating colored dyes in water. Doctors order this test to evaluate the overall balance of proteins and look for abnormal amounts or unusual patterns among these different protein types. Abnormal results can indicate conditions such as certain immune system disorders, kidney problems, or plasma cell dyscrasias (abnormal growth of plasma cells). The findings help guide a doctor's diagnosis but must be interpreted alongside your medical history and physical exam."
EOSINOPHIL COUNT (U),"This test measures the number of eosinophils, a type of white blood cell. Elevated counts can indicate allergic reactions or certain types of infections.","The Eosinophil Count measures the absolute number of eosinophils in your blood sample. These cells are a type of white blood cell that play a role in fighting off specific threats, such as parasites and responding to allergens (substances that trigger allergies). Physicians order this test to help evaluate potential allergic conditions, monitor asthma, or investigate signs of parasitic infections. While the results provide information about immune activity, they do not diagnose a specific condition on their own. Significant changes in this count may suggest an underlying inflammatory process requiring further evaluation."
LYMPH CT ABSOLUTE,"This test counts the absolute number of lymphocytes, which are a type of white blood cell that plays a key role in fighting infection.","The Lymphocyte Absolute count measures the specific quantity of lymphocytes—a crucial type of white blood cell—present in the bloodstream. This test is ordered by healthcare providers to help evaluate the immune system's function or when investigating symptoms such as unexplained fever, fatigue, or signs of infection. Elevated counts may suggest an active infection or certain types of hematologic disorders, while low counts can indicate that the bone marrow is not producing enough cells or that the immune system is suppressed. The results are interpreted alongside a patient’s medical history and physical examination findings to guide diagnosis and treatment."
UA MICROSCOPIC,"This test examines your urine sample under a microscope to look for cells, crystals, or bacteria that may indicate issues with the kidneys or urinary tract.","The microscopic examination of urine analyzes the sediment—the material left after filtering the urine—to identify various elements such as red and white blood cells, crystals, casts, and bacteria. This test is ordered to evaluate potential infections, kidney stones, or signs of inflammation within the urinary system. For example, finding many white blood cells can suggest an infection, while certain types of crystals may point toward stone formation. The results help healthcare providers determine if there is irritation or damage occurring anywhere from the bladder up to the kidneys."
